Date,Description,Debit Amount,Credit Amount,Balance
01-08-2024,Salary Credit XYZ Pvt Ltd 1935.,3,6,864.58
02-08-2024,Salary Credit XYZ Pvt Ltd 165,2.61,8,517.19
03-08-2024,IMPS UPI Payment Amazon 388,6.08,4,631.11
03-08-2024,Mobile Recharge Via UPI 164,8.72,6,279.83
14-08-2024,Fuel Purchase Debit Card 3878.57,101,58,4
17-08-2024,Electricity Bill NEFT Online 196,3.11,12,121.51
18-08-2024,Interest Credit Saving Account,596.72,11,524.79
25-08-2024,Cheque Deposit Local Clearing,617.86,10,906.93
27-08-2024,Fuel Purchase Debit Card 265,0.96,13,557.89
01-09-2024,Dining Out Card Swipe,656.42,14,214.31
08-09-2024,Mobile Recharge Via UPI 415,0.96,10,063.35
12-09-2024,Cheque Deposit Local Clearing,826.71,10,890.06
16-09-2024,Fuel Purchase Debit Card 3148.44,140,38,5
16-09-2024,Credit Card Payment ICICI 162,9.34,12,409.16
20-09-2024,NEFT Transfer T o ABC Ltd 427,5.77,16,684.93
25-09-2024,Salary Credit XYZ Pvt Ltd 2507.17,191,92,1
26-09-2024,IMPS UPI Payment Amazon,740.64,19,932.74
03-10-2024,EMI Auto Debit HDFC Bank 251,6.44,22,449.18
06-10-2024,Utility Bill Payment Electricity 420,8.51,18,240.67
07-10-2024,Service Charge GST Debit 359,3.89,21,834.56
09-10-2024,Cash Deposit Branch Counter 3215.04,250,49,6
12-10-2024,IMPS UPI Payment Amazon 409,8.72,29,148.32
15-10-2024,UPI QR Payment Groceries 371,3.69,25,434.63
22-10-2024,Salary Credit XYZ Pvt Ltd 4182.,2,21,252.43
23-10-2024,UPI QR Payment Groceries 361,5.84,17,636.59
26-10-2024,EMI Auto Debit HDFC Bank 100,6.21,16,630.38
04-11-2024,Service Charge GST Debit,756.93,15,873.45
04-11-2024,Cash Deposit Branch Counter,622.18,16,495.63
06-11-2024,Cash Deposit Branch Counter 377,7.56,12,718.07
07-11-2024,Fuel Purchase Debit Card 2986.,0,9,732.07
11-11-2024,UPI QR Payment Groceries 311,6.44,12,848.51
14-11-2024,Utility Bill Payment Electricity,320.12,12,528.39
14-11-2024,Electricity Bill NEFT Online 307,9.38,15,607.77
19-11-2024,NEFT Transfer T o ABC Ltd 492,5.74,10,682.03
21-11-2024,Cheque Deposit Local Clearing,515.93,11,197.96
26-11-2024,Fuel Purchase Debit Card 431,9.32,15,517.28
01-12-2024,Fuel Purchase Debit Card,821.75,16,339.03
04-12-2024,Cheque Deposit Local Clearing 293,9.04,13,399.99
07-12-2024,Dining Out Card Swipe 217,7.58,15,577.57
13-12-2024,Cash Deposit Branch Counter 121,0.14,14,367.43
17-12-2024,IMPS UPI Payment Amazon 168,3.84,16,051.27
18-12-2024,Cash Deposit Branch Counter 4706.,8,11,344.47
24-12-2024,Cheque Deposit Local Clearing 1359.,0,12,703.47
27-12-2024,NEFT Transfer From PQR Pvt 467,8.02,8,025.45
01-01-2025,UPI QR Payment Groceries 244,7.81,10,473.26
05-01-2025,UPI QR Payment Groceries,270.87,10,202.39
15-01-2025,NEFT Transfer From PQR Pvt 378,2.46,6,419.93
23-01-2025,Credit Card Payment ICICI,426.36,6,846.29
27-01-2025,Service Charge GST Debit 433,2.26,2,514.03
30-01-2025,UPI QR Payment Groceries 496,0.86,9,008.54
02-02-2025,IMPS UPI Payment Amazon 269,3.97,11,702.51
14-02-2025,Online Card Purchase Flipkart,737.74,12,440.25
21-02-2025,Dining Out Card Swipe 3973.65,846,6,6
24-02-2025,IMPS UPI Payment Amazon 199,8.34,10,464.94
24-02-2025,Salary Credit XYZ Pvt Ltd 161,1.68,12,076.62
01-03-2025,Credit Card Payment ICICI 450,9.03,7,567.59
02-03-2025,Dining Out Card Swipe 292,2.99,10,490.58
10-03-2025,Interest Credit Saving Account,187.17,10,677.75
12-03-2025,IMPS UPI Payment Amazon,741.32,9,936.43
13-03-2025,Insurance Premium Auto Debit 2881.87,128,18,3
18-03-2025,Interest Credit Saving Account,884.31,11,933.99
21-03-2025,ATM Cash Withdrawal India,189.74,11,744.25
31-03-2025,Insurance Premium Auto Debit 318,3.71,8,560.54
01-04-2025,Dining Out Card Swipe 178,6.81,6,773.73
10-04-2025,Fuel Purchase Debit Card 345,5.33,10,229.06
10-04-2025,Salary Credit XYZ Pvt Ltd 3130.96,709,8,1
12-04-2025,Insurance Premium Auto Debit,827.09,6,271.01
16-04-2025,Dining Out Card Swipe 489,0.35,11,161.36
19-04-2025,Online Card Purchase Flipkart 2634.,0,8,527.36
22-04-2025,Credit Card Payment ICICI 416,8.32,12,695.68
25-04-2025,Salary Credit XYZ Pvt Ltd 418,3.97,16,879.65
27-04-2025,IMPS UPI Transfer Paytm 408,7.04,12,792.61
28-04-2025,IMPS UPI Transfer Paytm,363.47,12,429.14
05-05-2025,NEFT Transfer From PQR Pvt 22.16,124,51,3
17-05-2025,Salary Credit XYZ Pvt Ltd 186,3.31,10,587.99
21-05-2025,Fuel Purchase Debit Card 4526.,6,6,061.39
31-05-2025,Dining Out Card Swipe 258,3.14,3,478.25
01-06-2025,Salary Credit XYZ Pvt Ltd 404,4,7,566.45
01-06-2025,Salary Credit XYZ Pvt Ltd 2617.,5,3,183.95
07-06-2025,Dining Out Card Swipe,307,7.91,106.04
08-06-2025,Electricity Bill NEFT Online 394,9.78,3,843.74
10-06-2025,Utility Bill Payment Electricity,456,7.77,724.03
18-06-2025,Utility Bill Payment Electricity 198,0.53,2,704.56
