Date,Description,Withdrawals,Deposits,Balance
01-08-2024,Salary Credit XYZ Pvt Ltd,0.0,1935.3,6864.58
02-08-2024,Salary Credit XYZ Pvt Ltd,0.0,1652.61,8517.19
03-08-2024,IMPS UPI Payment Amazon,3886.08,0.0,4631.11
03-08-2024,Mobile Recharge Via UPI,1648.72,0.0,6279.83
14-08-2024,Fuel Purchase Debit Card,3878.57,0.0,10158.4
17-08-2024,Electricity Bill NEFT Online,1963.11,0.0,12121.51
18-08-2024,Interest Credit Saving Account,0.0,596.72,11524.79
25-08-2024,Cheque Deposit Local Clearing,0.0,617.86,10906.93
27-08-2024,Fuel Purchase Debit Card,2650.96,0.0,13557.89
01-09-2024,Dining Out Card Swipe,656.42,0.0,14214.31
08-09-2024,Mobile Recharge Via UPI,4150.96,0.0,10063.35
12-09-2024,Cheque Deposit Local Clearing,0.0,826.71,10890.06
16-09-2024,Fuel Purchase Debit Card,3148.44,0.0,14038.5
16-09-2024,Credit Card Payment ICICI,1629.34,0.0,12409.16
20-09-2024,NEFT Transfer T o ABC Ltd,4275.77,0.0,16684.93
25-09-2024,Salary Credit XYZ Pvt Ltd,0.0,2507.17,19192.1
26-09-2024,IMPS UPI Payment Amazon,740.64,0.0,19932.74
03-10-2024,EMI Auto Debit HDFC Bank,2516.44,0.0,22449.18
06-10-2024,Utility Bill Payment Electricity,4208.51,0.0,18240.67
07-10-2024,Service Charge GST Debit,3593.89,0.0,21834.56
09-10-2024,Cash Deposit Branch Counter,0.0,3215.04,25049.6
12-10-2024,IMPS UPI Payment Amazon,4098.72,0.0,29148.32
15-10-2024,UPI QR Payment Groceries,3713.69,0.0,25434.63
22-10-2024,Salary Credit XYZ Pvt Ltd,0.0,4182.2,21252.43
23-10-2024,UPI QR Payment Groceries,3615.84,0.0,17636.59
26-10-2024,EMI Auto Debit HDFC Bank,1006.21,0.0,16630.38
04-11-2024,Service Charge GST Debit,756.93,0.0,15873.45
04-11-2024,Cash Deposit Branch Counter,0.0,622.18,16495.63
06-11-2024,Cash Deposit Branch Counter,0.0,3777.56,12718.07
07-11-2024,Fuel Purchase Debit Card,2986.0,0.0,9732.07
11-11-2024,UPI QR Payment Groceries,3116.44,0.0,12848.51
14-11-2024,Utility Bill Payment Electricity,320.12,0.0,12528.39
14-11-2024,Electricity Bill NEFT Online,3079.38,0.0,15607.77
19-11-2024,NEFT Transfer T o ABC Ltd,4925.74,0.0,10682.03
21-11-2024,Cheque Deposit Local Clearing,0.0,515.93,11197.96
26-11-2024,Fuel Purchase Debit Card,4319.32,0.0,15517.28
01-12-2024,Fuel Purchase Debit Card,821.75,0.0,16339.03
04-12-2024,Cheque Deposit Local Clearing,0.0,2939.04,13399.99
07-12-2024,Dining Out Card Swipe,2177.58,0.0,15577.57
13-12-2024,Cash Deposit Branch Counter,0.0,1210.14,14367.43
17-12-2024,IMPS UPI Payment Amazon,1683.84,0.0,16051.27
18-12-2024,Cash Deposit Branch Counter,0.0,4706.8,11344.47
24-12-2024,Cheque Deposit Local Clearing,0.0,1359.0,12703.47
27-12-2024,NEFT Transfer From PQR Pvt,4678.02,0.0,8025.45
01-01-2025,UPI QR Payment Groceries,2447.81,0.0,10473.26
